ID,직종,세부직종,직무태그,근무경력,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적
SID100109,문화·예술·신문·방송,영상·음향·사진·카메라,"취재기자, 편집 기사, 유아 사이트 기획, 시나리오 작성",0개월,,"서울,경기,서울",성균관대학교,국문,,無,70.0
SID100255,경영·기획·회계·사무,사무·총무·법무,,2년 11개월,정규직,"부산,서울,일본",신라대학교,관광경영,JLPT,無,
SID100284,IT·게임,하드웨어설계·개발·관리,"하드웨어 , 무선통신 , MICOM , ASM , RF , CDMA , Firm Ware, 텔레콤 , C++ , ADSL ,",0개월,,"서울,경기,",수원대학교,정보통신공,,有,60.0
SID100315,영업·판매·TM,기술영업,반도체,1년 0개월,정규직,"경기,서울,충북",수원대학교,정보통신,,有,70.0
SID100374,기술·과학·산업,기타 기술·과학·산업,기술직,0개월,,"전국,전국,전국",한밭대학교,화학공학과,,無,70.0
SID100408,IT·게임,"응용프로그래머(Unix,Linux,Java)","C,Server,PHP",0개월,,"서울,경기,전북",전주대학교,컴퓨터공학,,有,70.0
SID100519,경영·기획·회계·사무,경영·기획·전략,IPO,0개월,,"서울,경기,인천",한성대학교,사학,,無,60.0
SID10052,영업·판매·TM,해외영업,"해외영업,일본,중국,해외무역",0개월,,"서울,경기,일본",세명대학교,일어일문,JPT,有,70.0
SID10054,경영·기획·회계·사무,경영·기획·전략,상품기획,0개월,,"서울,경기,인천",세종대학교,영어영문학과,,無,60.0
SID100578,경영·기획·회계·사무,경리·회계,,2년 7개월,계약직,"서울,,",성신여자대학교,불어불문학과,TOEIC,無,80.0
SID100617,경영·기획·회계·사무,마케팅·마케팅기획,"인터넷마케팅,보험컨텐츠,CRM,금융서비스,제휴업무,웹기획,웹프로모션,로그분석,이벤트",9년 2개월,정규직,"서울,,",수원대학교,산업공학,,無,70.0
SID100618,IT·게임,"응용프로그래머(Unix,Linux,Java)","Delphi,네트웍,보안,응용프로그램",0개월,,"서울,서울,경기",제주대학교,전산통계,,有,80.0
SID100853,경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,광고,PR",0개월,,"서울,대전,",연세대학교,신문방송학,,無,70.0
SID100885,IT·게임,웹디자인,"웹디자인 , HTML , flash , 포토샵 , 드림위버 , 자바스크립트",0개월,,"서울,경기,",동덕여자대학교,생활미술,,無,50.0
SID100897,IT·게임,웹디자인,"웹디자인 , HTML , 플래쉬 , 포토샵 , 드림위버 , 자바스크립트",0개월,,"서울,경기,",동덕여자대학교,생활미술,,無,70.0
SID100900,경영·기획·회계·사무,사무·총무·법무,"임원비서,경리회계,무역사무,논술교육",0개월,,"서울,경기,",동덕여자대학교,문예창작,JPT,有,60.0
SID100928,영업·판매·TM,해외영업,"무역,해외영업",0개월,,"서울,서울,일본",상지대학교,무역, ,有,80.0
SID101112,영업·판매·TM,해외영업,,2년 9개월,,"서울,인천,경기",인천대학교,무역학과,TOEIC,有,80.0
SID101247,경영·기획·회계·사무,사무·총무·법무,일반사무직,0개월,,"서울,,",경기대학교,행정학과,TOEIC,有,80.0
SID101451,영업·판매·TM,영업·영업기획,,0개월,,"서울,서울,경기",선문대학교,경영학부,TOEIC,無,60.0
SID101499,경영·기획·회계·사무,비서·인포메이션·수행·안내,"비서,사무",0개월,,"서울,서울,서울",성공회대학교,유통정보학과,,無,60.0
