직종,세부직종,직무태그,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_y,근무경력_m,근무경력_d
문화·예술·신문·방송,영상·음향·사진·카메라,"취재기자, 편집 기사, 유아 사이트 기획, 시나리오 작성",기타,"서울,경기,서울",성균관대학교,국어국문학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,없음,정규직,"부산,서울,일본",신라대학교,안경학과,JLPT,無,74.39285714285714,2,11,1060
IT·게임,하드웨어설계·개발·관리,"하드웨어 , 무선통신 , MICOM , ASM , RF , CDMA , Firm Ware, 텔레콤 , C++ , ADSL ,",기타,"서울,경기,",수원대학교,신학과,없음,有,60.0,0,0,0
영업·판매·TM,기술영업,반도체,정규직,"경기,서울,충북",수원대학교,신학과,없음,有,70.0,1,0,365
기술·과학·산업,기타 기술·과학·산업,기술직,기타,"전국,전국,전국",한밭대학교,화학과,없음,無,70.0,0,0,0
IT·게임,"응용프로그래머(Unix,Linux,Java)","C,Server,PHP",기타,"서울,경기,전북",전주대학교,컴퓨터공학과,없음,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,IPO,기타,"서울,경기,인천",한성대학교,역사학과,없음,無,60.0,0,0,0
영업·판매·TM,해외영업,"해외영업,일본,중국,해외무역",기타,"서울,경기,일본",세명대학교,일본학과,JLPT,有,70.0,0,0,0
경영·기획·회계·사무,경영·기획·전략,상품기획,기타,"서울,경기,인천",세종대학교,영문학과,없음,無,60.0,0,0,0
경영·기획·회계·사무,경리·회계,없음,계약직,"서울,,",성신여자대학교,불어학과,TOEIC,無,80.0,2,7,940
경영·기획·회계·사무,마케팅·마케팅기획,"인터넷마케팅,보험컨텐츠,CRM,금융서비스,제휴업무,웹기획,웹프로모션,로그분석,이벤트",정규직,"서울,,",수원대학교,산업학과,없음,無,70.0,9,2,3345
IT·게임,"응용프로그래머(Unix,Linux,Java)","Delphi,네트웍,보안,응용프로그램",기타,"서울,서울,경기",제주대학교,통계학과,없음,有,80.0,0,0,0
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,광고,PR",기타,"서울,대전,",연세대학교,매체학과,없음,無,70.0,0,0,0
IT·게임,웹디자인,"웹디자인 , HTML , flash , 포토샵 , 드림위버 , 자바스크립트",기타,"서울,경기,",동덕여자대학교,미술학과,없음,無,50.0,0,0,0
IT·게임,웹디자인,"웹디자인 , HTML , 플래쉬 , 포토샵 , 드림위버 , 자바스크립트",기타,"서울,경기,",동덕여자대학교,미술학과,없음,無,70.0,0,0,0
경영·기획·회계·사무,사무·총무·법무,"임원비서,경리회계,무역사무,논술교육",기타,"서울,경기,",동덕여자대학교,문예창작과,JLPT,有,60.0,0,0,0
영업·판매·TM,해외영업,"무역,해외영업",기타,"서울,서울,일본",상지대학교,무역학과,없음,有,80.0,0,0,0
영업·판매·TM,해외영업,없음,기타,"서울,인천,경기",인천대학교,무역학과,TOEIC,有,80.0,2,9,1000
경영·기획·회계·사무,사무·총무·법무,일반사무직,기타,"서울,,",경기대학교,행정학과,TOEIC,有,80.0,0,0,0
영업·판매·TM,영업·영업기획,없음,기타,"서울,서울,경기",선문대학교,경영학과,TOEIC,無,60.0,0,0,0
경영·기획·회계·사무,비서·인포메이션·수행·안내,"비서,사무",기타,"서울,서울,서울",성공회대학교,유통학과,없음,無,60.0,0,0,0
