ID,Salary
SID100109,2100
SID100255,2100
SID100284,1900
SID100315,2500
SID100374,1900
SID100408,1700
SID100519,2900
SID10052,3700
SID10054,1900
SID100578,2900
SID100617,5250
SID100618,2100
SID100853,6250
SID100885,2300
SID100897,2300
SID100900,1500
SID100928,1900
SID101112,2300
SID101247,1500
SID101451,1700
SID101499,1700
SID101622,1900
SID101651,2100
SID101657,2500
SID101660,1900
SID101697,2500
SID101735,1700
SID101741,3100
SID101902,2900
SID101941,1900
SID101942,1700
SID101962,1500
SID101966,2300
SID102008,6250
SID102053,1900
SID102057,1700
SID102346,3100
SID102388,2300
SID102463,1300
SID102471,4700
SID102483,1500
SID102524,2900
SID102640,3500
SID102915,2700
SID102919,1900
SID102937,1900
SID102979,1900
SID102982,1900
SID102983,2100
SID103096,2100
SID103278,1500
SID103292,1900
SID10332,4500
SID103341,1500
SID103345,1700
SID103347,2100
SID103420,1500
SID103481,2500
SID103484,5750
SID103553,4500
SID103571,1900
SID103748,1700
SID103822,3100
SID103848,1300
SID103883,1900
SID103999,1500
SID104006,3900
SID10402,1500
SID104035,1900
SID10410,1900
SID104138,2500
SID104172,1700
SID104195,2500
SID10425,2100
SID104272,2300
SID104412,1700
SID104469,3700
SID10448,2900
SID10455,2300
SID104562,1900
SID104566,2100
SID104599,2300
SID10465,2300
SID104700,2100
SID104727,2100
SID104825,2900
SID104858,1100
SID10491,2500
SID104921,3300
SID104932,1100
SID104989,2100
SID105002,3300
SID105013,2300
SID105052,2700
SID105159,1700
SID105179,3100
SID105323,3300
SID105372,2100
SID105373,2500
SID105552,1900
SID105565,3100
SID10567,2900
SID105682,2500
SID105804,1700
SID105856,2700
SID10593,3500
SID105968,2300
SID106046,1900
SID106060,2900
SID106063,1900
SID106132,4700
SID106151,2500
SID106231,4100
SID10626,2500
SID106273,3100
SID10631,1700
SID10633,3300
SID10642,2700
SID106579,1500
SID106634,2700
SID106772,1500
SID106852,2900
SID106855,3500
SID106886,1700
SID107086,3500
SID107111,2700
SID107124,2300
SID107149,4300
SID107159,1300
SID10717,2500
SID107373,1700
SID107383,4300
SID107401,2700
SID107402,2700
SID107532,1900
SID107533,1500
SID107585,3700
SID107714,2300
SID107721,1700
SID107730,1900
SID107742,1700
SID107752,2700
SID107898,2900
SID107987,2300
SID107993,2300
SID107997,2300
SID10808,2700
SID108157,1500
SID108212,1500
SID108314,2500
SID108328,4500
SID108342,1900
SID108382,2500
SID108408,1300
SID108410,3900
SID10846,2300
SID108613,1500
SID10867,1900
SID108676,1900
SID108687,1500
SID108722,3500
SID108868,3300
SID108929,1900
SID108970,1100
SID109020,2100
SID109122,2100
SID109161,2300
SID109181,2500
SID109434,2300
SID109629,1700
SID109646,2500
SID109684,2500
SID109687,1500
SID109918,1700
SID110045,1500
SID110076,1700
SID110136,1700
SID110172,1700
SID110247,2700
SID110253,1900
SID110298,1500
SID110367,2300
SID110406,2500
SID11042,1300
SID110468,2700
SID110594,1900
SID110624,1900
SID110783,4900
SID110819,2100
SID110943,3500
SID110955,2300
SID111010,2900
SID111033,1900
SID111063,2300
SID1112,3100
SID111216,1500
SID111260,1700
SID111294,3300
SID111343,2100
SID111378,2500
SID111461,1500
SID111477,2100
SID111499,2500
SID111622,2100
SID111700,1700
SID111770,3700
SID11180,1700
SID111813,3500
SID111855,1100
SID111894,1900
SID112082,1900
SID112087,2700
SID11209,2900
SID112224,1500
SID112299,1300
SID11242,1700
SID112436,2500
SID112626,2100
SID112717,1700
SID11280,3100
SID112833,1100
SID112839,2500
SID112897,2500
SID113008,2300
SID113109,1500
SID113120,1900
SID113131,3500
SID113214,1700
SID113244,2100
SID113246,3100
SID113289,2900
SID113311,3900
SID113415,1700
SID113474,1300
SID113590,5750
SID113615,1500
SID113626,1900
SID113671,2100
SID113717,2300
SID113738,2300
SID11379,1900
SID113801,2100
SID113857,1500
SID113924,2300
SID114036,3500
SID114152,2100
SID114236,3500
SID114323,1700
SID114350,1700
SID114368,3500
SID114397,2500
SID114402,1300
SID114445,3500
SID114484,3500
SID114495,3300
SID114506,1100
SID11453,1900
SID114544,1900
SID114571,2300
SID114737,1700
SID114742,1500
SID114768,1900
SID114828,3100
SID114846,1900
SID114952,2100
SID115039,2100
SID115040,3900
SID115068,1700
SID115071,1500
SID115094,1300
SID115189,1900
SID115207,2500
SID115227,1900
SID115411,1500
SID115456,4100
SID115519,2500
SID115549,1500
SID115596,2300
SID115636,1700
SID115651,1900
